Cython,NumPy
66195700,194707000
64326200,193783000
64241600,192526300
64777100,192576200
64022300,193408700
64741300,193886000
64528700,193792900
65385000,192277300
64486900,192849100
64280500,193577900
64659000,193681200
64604300,193057200
64172800,193203300
64730800,192487100
67979300,192796600
66712400,193277000
65226300,194343700
64331800,193101500
64346300,192565200
64220400,192399100
64595000,193018100
64567700,194667400
64224800,192421900
64523500,193625900
66076500,193049400
65467900,192764800
64247100,195287000
64260200,192430900
64690900,193509200
64521300,192141200
69544600,192165100
65090000,194533600
65341100,192969500
64154800,191416500
64374400,194906100
64256000,192449000
64134300,194179100
64403300,194498100
64655300,192467400
64474300,194077800
65757600,192712200
64438000,192596200
64891500,195532800
64050300,192628100
64403300,192268400
68689400,193433200
65258900,192030800
64231100,195770000
65465100,193054600
64850700,191810900
64705700,193549600
63983000,192251700
64634800,194632200
64370500,193603500
64367700,192455300
64427300,192516200
65347900,193901700
64901600,194366500
64259200,193628800
65033400,192858800
65373900,192493900
68048700,193360000
64832600,194251500
64767200,192813600
65063500,193627900
65184500,192760600
64073900,192574400
64338700,195014200
64438000,193181400
64596800,193019300
64435000,192485500
64394900,192635800
64903300,195569100
65010700,197275000
64510100,192133900
64174000,193446600
68727400,193852500
65223300,192236500
64786500,195781400
64457900,206086600
64901200,213282500
66100100,192343700
64800600,192121100
64651700,195138700
64696600,192394300
64518900,192778200
64587900,194543400
64562000,194100100
65038700,196160100
66123700,193454400
64582300,193579700
66765200,194197800
67847200,192844600
64519200,195563600
64810700,194174100
64721400,192713100
64964800,193606700
66241000,195073900
64553300,194783900
65213800,195304700
64854900,192545300
64839600,192825500
65059600,193943600
65223700,192039800
64725900,194586700
66437100,193552000
65131800,192907200
70702800,192052400
65271800,193147600
64908600,195227200
65120400,193307800
65236300,192814300
64944300,191841900
66518100,193947900
65185300,195014600
64936800,192431100
65115200,194230100
64555000,192495700
64300000,192535000
64436200,196322600
64419700,192203400
65704000,193613000
68958200,192135800
64583800,192020300
64427700,195430600
65596600,193322900
64595300,191722200
64614900,193703700
64484600,192892400
65447000,192893500
65178100,193517600
65427800,192883300
64774400,193781600
64526000,191976800
65166600,192752000
64854100,195393900
64664100,192148600
66073900,192260000
68569600,193508800
65102600,192705300
64729000,195036800
64860500,192537100
64519600,192524400
64588700,193118400
64201400,192361700
65828200,196110000
66344000,193219800
66470200,193571300
64627300,192056500
64789000,193536600
65189600,195638100
64923000,194034200
65050800,192639600
70264900,192397700
65607400,193488600
65021600,192665800
64653900,194311500
64567100,193557000
64593100,192780700
64747800,191813000
64862900,193590700
65033700,195029900
66743900,193491400
64862400,192519100
64681100,192475900
64794900,193432800
64846500,194549700
64928000,192476400
68833500,194169100
64945000,191850500
66052000,192180600
64923300,196136800
64327100,192099500
64644500,193611800
65410600,193064000
65175300,191838000
64481500,195798500
65319600,193062300
66093600,192275000
65019500,194004300
64711900,193061500
64581900,192069700
64383500,196682600
67518300,194157100
68915600,195437900
66519600,192218700
66775300,191817500
64696800,196014900
64757100,191993300
64792700,192539600
64454100,193117900
65034200,192925300
64710400,194953400
65162700,193436300
66143000,192352900
64853500,194134200
64622200,193784800
64798100,200514700
65036200,193345700
69432000,192664500
64956600,192492800
64522600,193548300
66111900,195050800
64782300,193513000
64901300,192851600
64637500,193326700
64648200,194200200
64934400,193833600
64821100,192867900
64466200,194506700
65173700,192825200
65650400,192430600
64722400,193641600
64626800,194867700
68931100,193439100
65592800,193798400
64584200,192188600
64684800,194315700
65380200,195812600
65543800,191820000
64501300,193744200
64623100,192095300
64765000,192375200
65143500,195870000
65025100,192555400
64745800,193931300
64665200,193015900
66227600,192002000
65009400,195075800
65932500,192712000
69195800,192471400
65365900,194419800
65323000,192301800
64943200,194939200
65214800,194074000
66176400,193235500
65072900,193734400
64626900,191859500
64806800,193054900
64887200,195201200
64577000,192088900
64720500,192725900
64699500,193569900
66497100,192466500
64710400,195436700
69748700,193034500
65604700,193276700
64833500,193575400
64400600,193170400
64637200,196822800
65049900,192935300
66382500,192783300
64525300,192450800
64763400,193209100
65091200,194452300
64929400,192969000
64160400,192584000
64731300,192640500
64335100,193289200
65871700,194300600
68635800,192421600
67082000,193494900
64497900,192203300
64015300,192011000
64257400,195657700
64450200,193865400
64412500,193447300
65695600,193431300
64422100,192596600
64414200,193624800
65084500,195227400
64487700,192303400
66826200,194778500
69208200,200875500
66056100,192333400
66958900,195049000
68510200,191827700
64745800,194221800
64510000,193133900
64363300,193937000
64258900,196727200
64524700,192360200
65050500,192290700
65185900,194470800
64976500,202738000
64639700,195520700
64204700,192796600
64502100,193030700
64392600,193816400
64578000,193015200
64392600,194314500
68355700,194003800
66125400,192675500
64370900,192478200
64867800,193359400
64095500,193626200
64285500,194332900
64299200,192872600
66939200,192516900
64670500,193714800
65734100,192400800
64331600,194409000
65156200,199555100
64141900,192000400
65014100,193352600
64245300,193220700
66172600,195204700
68804600,193506500
66555100,192586000
64100700,192594400
64500400,195341900
64104300,196683100
64349300,193001100
64394100,194347300
64550000,192559500
64139500,193166000
65767200,195961300
64362800,192937300
64571900,193416800
64218600,192282500
64403600,192142300
64505000,195273900
67641600,192804900
66372400,192377500
65840000,193297200
64145900,192516300
64103700,203131200
64441000,216272800
64688600,195243600
64276900,194205400
64772300,192446900
64348700,193406500
65335000,197504100
65284800,205480700
64823000,192391800
65254000,197240300
65659800,196047500
66918400,195191700
68842300,193276800
65228500,192007700
66306300,194010200
64643700,192740500
65395900,194643800
64519400,194395100
64713300,193573600
64734700,192183800
64785800,192523800
65660200,194405500
64843500,193744900
65791400,195328200
64837100,194393600
64549000,194234300
65690200,196030700
67022500,192364000
66577500,193878500
64755500,192420400
65026500,193242700
65798800,196534000
64849100,193669200
64725800,195363400
64854200,192332400
65150100,192482100
64366400,195030100
64554000,193037400
65158600,193135900
65740300,193713700
64502500,192617000
65198400,193524800
64628700,194906700
68922700,192479500
64945200,193648700
64783500,192778300
64591700,192794300
66205700,195916400
64737800,192869600
64657500,192801600
64803500,192926000
64811700,192429100
64791100,195456400
64637400,191630800
64858400,192462700
66460200,193565200
64595700,191762400
65110800,195167200
68354000,194008000
65449100,193691700
65130000,193195800
64571800,192559800
64618000,202345800
65795900,233989000
65087700,192897700
64466200,192466400
